,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
0,1,7,14,シルクジャスティス,牡4,55,藤田伸二,2:34.8,,,12-13-9-9,37.0,8.1,4.0,464(-2),,,,[西] 大久保正,シルク,13548.6
1,2,2,3,マーベラスサンデー,牡6,56,武豊,2:34.8,アタマ,,12-12-12-6,36.8,3.0,1.0,494(+4),,,,[西] 大沢真,笹原貞生,5399.6
2,3,6,12,エアグルーヴ,牝5,55,ペリエ,2:34.9,クビ,,5-5-3-2,37.4,3.8,2.0,470(-2),,,,[西] 伊藤雄二,ラッキーフィールド,3349.8
3,4,2,4,ローゼンカバリー,牡5,57,横山典弘,2:35.3,2.1/2,,15-15-13-9,37.0,35.6,8.0,490(+10),,,,[東] 鈴木康弘,社台レースホース,2000.0
4,5,5,9,オースミタイクーン,牡7,56,武幸四郎,2:35.5,1.1/2,,14-14-13-14,37.2,74.4,11.0,508(-8),,,,[西] 武邦彦,山路秀則,1320.0
5,6,4,8,テイエムオオアラシ,牡5,57,土肥幸広,2:35.6,1/2,,11-9-6-6,38.0,31.2,7.0,462(+2),,,,[西] 二分久男,竹園正繼,
6,7,7,13,マウンテンストーン,牡5,57,蛯名正義,2:36.0,2.1/2,,10-11-9-9,38.2,64.8,10.0,470(+8),,,,[東] 小島太,山石祐一,
7,8,8,15,メジロドーベル,牝4,53,吉田豊,2:36.0,アタマ,,9-9-8-4,38.3,4.6,3.0,480(+2),,,,[東] 大久保洋,メジロ商事,
8,9,5,10,タイキブリザード,牡7,56,ロバーツ,2:36.7,4,,4-4-1-1,39.4,12.2,6.0,542(0),,,,[東] 藤沢和雄,大樹ファーム,
9,10,1,1,インターユニーク,牡7,56,小野次郎,2:36.8,1/2,,3-2-6-8,39.2,85.4,13.0,448(+8),,,,[東] 高松邦男,松岡正雄,
10,11,3,6,マイネルブリッジ,牡6,56,藤原英幸,2:36.9,3/4,,7-7-9-12,39.1,104.8,15.0,520(+6),,,,[東] 伊藤正徳,サラブレッドクラブ・ラフィアン,
11,12,8,16,アロハドリーム,牡5,57,加藤和宏,2:37.0,1/2,,7-7-5-2,39.4,125.4,16.0,470(0),,,,[東] 岩城博俊,喜田啓照,
12,13,6,11,サンデーブランチ,牡6,56,熊沢重文,2:38.1,7,,5-5-3-4,40.6,41.4,9.0,504(+10),,,,[西] 池江泰郎,社台レースホース,
13,14,1,2,ダンスパートナー,牝6,54,河内洋,2:38.8,4,,15-15-16-15,39.8,10.9,5.0,438(-10),,,,[西] 白井寿昭,吉田勝己,
14,15,3,5,マイネルマックス,牡4,55,佐藤哲三,2:43.2,大,,2-2-2-12,45.8,80.1,12.0,482(0),,,,[西] 中村均,サラブレッドクラブ・ラフィアン,
15,16,4,7,カネツクロス,牡7,56,的場均,2:46.7,大,,1-1-15-16,48.3,90.5,14.0,476(-2),,,,[東] 西塚安夫,カネツ競走馬,
0,1,1,2,グラスワンダー,牡4,55,的場均,2:32.1,,,8-8-6-4,35.3,14.5,4.0,498(+2),,,,[東] 尾形充弘,半沢,13548.6
1,2,5,10,メジロブライト,牡5,57,河内洋,2:32.2,1/2,,15-15-14-9,34.5,5.3,3.0,470(+6),,,,[西] 浅見秀一,メジロ牧場,5399.6
2,3,3,5,ステイゴールド,牡5,57,熊沢重文,2:32.6,2.1/2,,8-8-8-6,35.5,40.8,11.0,424(-2),,,,[西] 池江泰郎,社台レースホース,3349.8
3,4,6,11,セイウンスカイ,牡4,55,横山典弘,2:32.7,クビ,,1-1-1-1,37.0,2.7,1.0,480(+10),,,,[東] 保田一隆,西山正行,2000.0
4,5,2,3,エアグルーヴ,牝6,54,武豊,2:32.9,1.1/2,,7-7-6-6,36.0,3.8,2.0,468(-4),,,,[西] 伊藤雄二,ラッキーフィールド,1320.0
5,6,7,13,キングヘイロー,牡4,55,福永祐一,2:32.9,アタマ,,13-13-14-13,35.3,26.7,10.0,482(0),,,,[西] 坂口正大,浅川吉男,
6,7,4,8,シルクジャスティス,牡5,57,藤田伸二,2:33.0,1/2,,13-13-11-10,35.7,19.8,6.0,470(0),,,,[西] 大久保正,シルク,
7,8,2,4,ダイワオーシュウ,牡5,57,柴田善臣,2:33.0,ハナ,,10-10-11-10,35.6,45.8,12.0,456(+8),,,,[東] 二ノ宮敬,大和商事,
8,9,7,14,メジロドーベル,牝5,55,吉田豊,2:33.2,1.1/4,,5-5-2-2,37.1,20.8,7.0,492(+14),,,,[東] 大久保洋,メジロ商事,
9,10,3,6,オフサイドトラップ,牡8,56,蛯名正義,2:33.2,ハナ,,3-3-2-2,37.0,23.3,8.0,476(0),,,,[東] 加藤修甫,渡邊隆,
10,11,8,16,エモシオン,牡4,55,松永幹夫,2:33.2,アタマ,,10-10-8-6,36.2,23.7,9.0,456(0),,,,[西] 小林稔,根岸治男,
11,12,6,12,ユーセイトップラン,牡6,56,佐藤哲三,2:33.3,クビ,,16-16-16-16,35.0,63.2,13.0,492(+8),,,,[西] 音無秀孝,アサヒクラブ,
12,13,1,1,マチカネフクキタル,牡5,57,岡部幸雄,2:34.3,6,,10-10-11-10,37.0,16.9,5.0,520(+18),,,,[西] 二分久男,細川益男,
13,14,5,9,サンライズフラッグ,牡5,57,安田康彦,2:35.2,5,,2-2-4-4,38.9,80.6,14.0,450(+4),,,,[西] 安田伊佐,松岡,
14,15,8,15,ビッグサンデー,牡5,57,高橋亮,2:36.2,6,,5-6-10-13,39.0,104.9,15.0,472(0),,,,[西] 中尾正,ビッグ,
15,16,4,7,オースミタイクーン,牡8,56,武幸四郎,2:36.4,1.1/4,,4-3-5-13,39.8,105.2,16.0,510(+2),,,,[西] 武邦彦,山路秀則,
0,1,4,7,グラスワンダー,牡5,57,的場均,2:37.2,,,11-10-7-3,34.6,2.8,1.0,512(+12),,,,[東] 尾形充弘,半沢,13523.4
1,2,2,3,スペシャルウィーク,牡5,57,武豊,2:37.2,ハナ,,14-14-11-5,34.5,3.0,2.0,464(-4),,,,[西] 白井寿昭,臼田浩義,5392.4
2,3,6,11,テイエムオペラオー,牡4,55,和田竜二,2:37.2,クビ,,5-5-4-5,34.9,12.0,5.0,474(-2),,,,[西] 岩元市三,竹園正繼,3346.2
3,4,6,10,ツルマルツヨシ,牡5,57,藤田伸二,2:37.3,1/2,,7-7-7-3,34.8,12.1,6.0,504(+6),,,,[西] 二分久男,鶴田任男,2000.0
4,5,7,13,メジロブライト,牡6,56,河内洋,2:37.5,1,,11-12-11-12,34.8,6.5,3.0,470(+8),,,,[西] 浅見秀一,メジロ牧場,1320.0
5,6,8,14,ゴーイングスズカ,牡7,56,芹沢純一,2:37.5,クビ,,1-1-1-1,35.6,163.6,14.0,460(+2),,,,[西] 橋田満,永井啓弐,
6,7,1,1,ナリタトップロード,牡4,55,渡辺薫彦,2:37.8,1.3/4,,2-2-2-2,35.9,6.8,4.0,492(+6),,,,[西] 沖芳夫,山路秀則,
7,8,7,12,ファレノプシス,牝5,55,蛯名正義,2:38.1,1.3/4,,13-12-11-9,35.3,68.8,9.0,442(0),,,,[西] 浜田光正,ノースヒルズマネジメント,
8,9,5,9,フサイチエアデール,牝4,53,福永祐一,2:38.1,アタマ,,5-5-4-5,35.9,79.0,10.0,434(-4),,,,[西] 松田国英,関口房朗,
9,10,3,5,ステイゴールド,牡6,56,熊沢重文,2:38.2,1/2,,7-7-7-9,35.7,31.6,8.0,428(+8),,,,[西] 池江泰郎,社台レースホース,
10,11,2,2,スエヒロコマンダー,牡5,57,後藤浩輝,2:38.2,クビ,,7-7-7-12,35.7,128.2,12.0,434(+4),,,,[西] 松元茂樹,みどり住宅,
11,12,8,15,ダイワオーシュウ,牡6,56,柴田善臣,2:38.3,1/2,,2-2-2-5,36.3,95.1,11.0,472(+2),,,,[東] 二ノ宮敬,大和商事,
12,13,3,4,ユーセイトップラン,牡7,56,松永幹夫,2:38.9,3.1/2,,10-10-11-14,36.2,139.9,13.0,490(+18),,,,[西] 音無秀孝,アサヒクラブ,
13,14,4,6,シンボリインディ,牡4,55,横山典弘,2:39.2,2,,4-4-4-9,36.9,26.1,7.0,468(+20),,,,[東] 藤沢和雄,シンボリ牧場,
14,除,5,8,インターフラッグ,牡7,56,岡部幸雄,,,,,,---,,434(0),,,,[西] 工藤嘉見,松岡留枝,
0,1,4,7,テイエムオペラオー,牡5,57,和田竜二,2:34.1,,,14-12-12-11,36.4,1.7,1.0,480(+4),,,,[西] 岩元市三,竹園正繼,18348.6
1,2,7,13,メイショウドトウ,牡5,57,安田康彦,2:34.1,ハナ,,11-8-8-7,36.5,6.8,2.0,512(+8),,,,[西] 安田伊佐,松本好雄,7299.6
2,3,6,12,ダイワテキサス,牡8,56,蛯名正義,2:34.2,3/4,,6-5-4-2,36.9,81.0,13.0,484(+4),,,,[東] 増沢末夫,大和商事,4549.8
3,4,5,10,キングヘイロー,牡6,56,柴田善臣,2:34.3,1/2,,15-15-16-13,36.0,39.9,9.0,488(-6),,,,[西] 坂口正大,浅川吉男,2700.0
4,5,7,14,アドマイヤボス,牡4,55,武豊,2:34.3,ハナ,,12-12-12-11,36.6,19.3,6.0,492(+4),,,,[西] 橋田満,近藤利一,1800.0
5,6,8,15,アメリカンボス,牡6,56,江田照男,2:34.7,2.1/2,,3-3-4-2,37.5,131.4,15.0,484(+10),,,,[東] 田子冬樹,畔蒜不動産,
6,7,6,11,ステイゴールド,牡7,56,後藤浩輝,2:34.8,クビ,,12-12-8-7,37.3,46.5,10.0,430(0),,,,[西] 池江泰郎,社台レースホース,
7,8,8,16,メイショウオウドウ,牡6,56,河内洋,2:35.0,1,,8-8-8-7,37.5,57.2,12.0,468(+6),,,,[西] 飯田明弘,松本好雄,
8,9,2,4,ナリタトップロード,牡5,57,的場均,2:35.1,3/4,,6-5-3-2,38.0,7.6,3.0,488(+4),,,,[西] 沖芳夫,山路秀則,
9,10,2,3,ホットシークレット,セ5,57,横山典弘,2:35.1,クビ,,3-3-2-1,38.2,34.0,8.0,460(0),,,,[東] 後藤由之,金子真人,
10,11,4,8,ユーセイトップラン,牡8,56,中舘英二,2:35.2,クビ,,15-15-15-14,37.0,144.7,16.0,482(+2),,,,[西] 音無秀孝,アサヒクラブ,
11,12,1,2,マチカネキンノホシ,牡5,57,岡部幸雄,2:36.0,5,,3-5-4-6,38.7,24.1,7.0,536(+6),,,,[東] 藤沢和雄,細川益男,
12,13,3,5,ジョービッグバン,牡6,56,山田和広,2:36.3,1.3/4,,1-1-1-2,39.4,54.9,11.0,456(-8),,,,[西] 坪正直,上田けい子,
13,14,3,6,トーホウシデン,牡4,55,田中勝春,2:36.9,3.1/2,,8-8-8-7,39.4,15.2,5.0,426(-4),,,,[東] 田中清隆,東豊物産,
14,15,5,9,ゴーイングスズカ,牡8,56,芹沢純一,2:38.5,10,,2-2-4-15,41.2,101.0,14.0,464(+6),,,,[西] 橋田満,永井啓弐,
15,中,1,1,ツルマルツヨシ,牡6,56,藤田伸二,,,,8-8-12-16,,13.1,4.0,508(+4),,,,[西] 二分久男,鶴田任男,
0,1,4,4,マンハッタンカフェ,牡3,55,蛯名正義,2:33.1,,,7-8-11-9,33.9,7.1,3.0,504(+10),,,,[東] 小島太,西川清,18277.2
1,2,1,1,アメリカンボス,牡6,57,江田照男,2:33.3,1.1/4,,3-3-2-2,34.7,116.9,13.0,486(+6),,,,[東] 田子冬樹,畔蒜不動産,7279.2
2,3,2,2,トゥザヴィクトリー,牝5,55,武豊,2:33.3,クビ,,1-1-1-1,34.8,17.7,6.0,488(-2),,,,[西] 池江泰郎,金子真人,4539.6
3,4,8,13,メイショウドトウ,牡5,57,安田康彦,2:33.3,アタマ,,5-6-3-4,34.6,5.5,2.0,512(+4),,,,[西] 安田伊佐,松本好雄,2700.0
