,着順,枠番,馬番,馬名,性齢,斤量,騎手,上り,単勝,人気,馬体重,調教師,馬主,rank_0,rank_1,rank_2,rank_3,second,first_half,weight,diff
0,1,7,14,シルクジャスティス,牡4,55,藤田伸二,37.0,8.1,4.0,464(-2),[西] 大久保正,シルク,12,13,9,9,154.8,117.80000000000001,464,-2
1,2,2,3,マーベラスサンデー,牡6,56,武豊,36.8,3.0,1.0,494(+4),[西] 大沢真,笹原貞生,12,12,12,6,154.8,118.00000000000001,494,4
2,3,6,12,エアグルーヴ,牝5,55,ペリエ,37.4,3.8,2.0,470(-2),[西] 伊藤雄二,ラッキーフィールド,5,5,3,2,154.9,117.5,470,-2
3,4,2,4,ローゼンカバリー,牡5,57,横山典弘,37.0,35.6,8.0,490(+10),[東] 鈴木康弘,社台レースホース,15,15,13,9,155.3,118.30000000000001,490,10
4,5,5,9,オースミタイクーン,牡7,56,武幸四郎,37.2,74.4,11.0,508(-8),[西] 武邦彦,山路秀則,14,14,13,14,155.5,118.3,508,-8
5,6,4,8,テイエムオオアラシ,牡5,57,土肥幸広,38.0,31.2,7.0,462(+2),[西] 二分久男,竹園正繼,11,9,6,6,155.6,117.6,462,2
6,7,7,13,マウンテンストーン,牡5,57,蛯名正義,38.2,64.8,10.0,470(+8),[東] 小島太,山石祐一,10,11,9,9,156.0,117.8,470,8
7,8,8,15,メジロドーベル,牝4,53,吉田豊,38.3,4.6,3.0,480(+2),[東] 大久保洋,メジロ商事,9,9,8,4,156.0,117.7,480,2
8,9,5,10,タイキブリザード,牡7,56,ロバーツ,39.4,12.2,6.0,542(0),[東] 藤沢和雄,大樹ファーム,4,4,1,1,156.7,117.29999999999998,542,0
9,10,1,1,インターユニーク,牡7,56,小野次郎,39.2,85.4,13.0,448(+8),[東] 高松邦男,松岡正雄,3,2,6,8,156.8,117.60000000000001,448,8
10,11,3,6,マイネルブリッジ,牡6,56,藤原英幸,39.1,104.8,15.0,520(+6),[東] 伊藤正徳,サラブレッドクラブ・ラフィアン,7,7,9,12,156.9,117.80000000000001,520,6
11,12,8,16,アロハドリーム,牡5,57,加藤和宏,39.4,125.4,16.0,470(0),[東] 岩城博俊,喜田啓照,7,7,5,2,157.0,117.6,470,0
12,13,6,11,サンデーブランチ,牡6,56,熊沢重文,40.6,41.4,9.0,504(+10),[西] 池江泰郎,社台レースホース,5,5,3,4,158.1,117.5,504,10
13,14,1,2,ダンスパートナー,牝6,54,河内洋,39.8,10.9,5.0,438(-10),[西] 白井寿昭,吉田勝己,15,15,16,15,158.8,119.00000000000001,438,-10
14,15,3,5,マイネルマックス,牡4,55,佐藤哲三,45.8,80.1,12.0,482(0),[西] 中村均,サラブレッドクラブ・ラフィアン,2,2,2,12,163.2,117.39999999999999,482,0
15,16,4,7,カネツクロス,牡7,56,的場均,48.3,90.5,14.0,476(-2),[東] 西塚安夫,カネツ競走馬,1,1,15,16,166.7,118.39999999999999,476,-2
16,1,1,2,グラスワンダー,牡4,55,的場均,35.3,14.5,4.0,498(+2),[東] 尾形充弘,半沢,8,8,6,4,152.1,116.8,498,2
17,2,5,10,メジロブライト,牡5,57,河内洋,34.5,5.3,3.0,470(+6),[西] 浅見秀一,メジロ牧場,15,15,14,9,152.2,117.69999999999999,470,6
18,3,3,5,ステイゴールド,牡5,57,熊沢重文,35.5,40.8,11.0,424(-2),[西] 池江泰郎,社台レースホース,8,8,8,6,152.6,117.1,424,-2
19,4,6,11,セイウンスカイ,牡4,55,横山典弘,37.0,2.7,1.0,480(+10),[東] 保田一隆,西山正行,1,1,1,1,152.7,115.69999999999999,480,10
20,5,2,3,エアグルーヴ,牝6,54,武豊,36.0,3.8,2.0,468(-4),[西] 伊藤雄二,ラッキーフィールド,7,7,6,6,152.9,116.9,468,-4
21,6,7,13,キングヘイロー,牡4,55,福永祐一,35.3,26.7,10.0,482(0),[西] 坂口正大,浅川吉男,13,13,14,13,152.9,117.60000000000001,482,0
22,7,4,8,シルクジャスティス,牡5,57,藤田伸二,35.7,19.8,6.0,470(0),[西] 大久保正,シルク,13,13,11,10,153.0,117.3,470,0
23,8,2,4,ダイワオーシュウ,牡5,57,柴田善臣,35.6,45.8,12.0,456(+8),[東] 二ノ宮敬,大和商事,10,10,11,10,153.0,117.4,456,8
24,9,7,14,メジロドーベル,牝5,55,吉田豊,37.1,20.8,7.0,492(+14),[東] 大久保洋,メジロ商事,5,5,2,2,153.2,116.1,492,14
25,10,3,6,オフサイドトラップ,牡8,56,蛯名正義,37.0,23.3,8.0,476(0),[東] 加藤修甫,渡邊隆,3,3,2,2,153.2,116.19999999999999,476,0
26,11,8,16,エモシオン,牡4,55,松永幹夫,36.2,23.7,9.0,456(0),[西] 小林稔,根岸治男,10,10,8,6,153.2,116.99999999999999,456,0
27,12,6,12,ユーセイトップラン,牡6,56,佐藤哲三,35.0,63.2,13.0,492(+8),[西] 音無秀孝,アサヒクラブ,16,16,16,16,153.3,118.30000000000001,492,8
28,13,1,1,マチカネフクキタル,牡5,57,岡部幸雄,37.0,16.9,5.0,520(+18),[西] 二分久男,細川益男,10,10,11,10,154.3,117.30000000000001,520,18
29,14,5,9,サンライズフラッグ,牡5,57,安田康彦,38.9,80.6,14.0,450(+4),[西] 安田伊佐,松岡,2,2,4,4,155.2,116.29999999999998,450,4
