,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1,2016/02/27,1阪神1,曇,11,アーリントンC(G3),,芝1600,14,良,1:34.1,34.4-35.0,レインボーライン,Ｍ．デム,[西]浅見秀一,ダンツプリウス,ロワアブソリュー
2,2015/02/28,1阪神1,晴,11,アーリントンC(G3),,芝1600,12,良,1:35.9,35.6-35.1,ヤングマンパワー,松岡正海,[東]手塚貴久,アルマワイオリ,マテンロウハピネス
3,2014/03/01,1阪神1,小雨,11,アーリントンC(G3),,芝1600,10,良,1:34.0,35.2-35.2,ミッキーアイル,浜中俊,[西]音無秀孝,タガノグランパ,フェルメッツァ
4,2013/02/23,1阪神1,曇,11,アーリントンC(G3),,芝1600,10,良,1:34.8,35.9-34.1,コパノリチャード,ビュイッ,[西]宮徹,カオスモス,レッドアリオン
5,2012/02/25,1阪神1,曇,11,アーリントンC(G3),,芝1600,13,良,1:36.3,36.5-35.2,ジャスタウェイ,福永祐一,[西]須貝尚介,オリービン,アルキメデス
6,2011/02/26,1阪神1,晴,11,アーリントンC(G3),,芝1600,13,良,1:34.2,35.4-35.1,ノーザンリバー,武豊,[西]浅見秀一,キョウエイバサラ,テイエムオオタカ
7,2010/02/27,1阪神1,晴,11,アーリントンC(G3),,芝1600,16,良,1:34.8,36.3-35.2,コスモセンサー,石橋脩,[西]西園正都,ザタイキ,レト
8,2009/02/28,1阪神1,晴,11,アーリントンC(G3),,芝1600,13,良,1:35.6,34.8-36.4,ダブルウェッジ,小牧太,[西]田所秀孝,マイネルエルフ,ミッキーパンプキン
9,2008/03/01,1阪神1,晴,11,アーリントンC(G3),,芝1600,12,良,1:34.6,35.2-36.2,ダンツキッスイ,藤田伸二,[西]橋本寿正,エーシンフォワード,ディープスカイ
10,2007/02/24,1阪神1,曇,11,アーリントンC(G3),,芝1600,16,良,1:33.9,35.5-35.0,トーセンキャプテン,四位洋文,[西]角居勝彦,ローレルゲレイロ,マイネルレーニア
11,2006/02/25,1阪神1,晴,11,アーリントンC(G3),,芝1600,15,良,1:34.7,35.1-35.6,ステキシンスケクン,ペリエ,[西]森秀行,ロジック,アマノトレンディー
12,2005/02/26,1阪神1,曇,11,アーリントンC(G3),,芝1600,12,良,1:34.3,35.0-35.9,ビッグプラネット,武豊,[西]南井克巳,セイウンニムカウ,インプレッション
13,2004/02/28,1阪神1,晴,11,アーリントンC(G3),,芝1600,14,良,1:35.8,36.2-34.8,シーキングザダイヤ,武豊,[西]森秀行,カリプソパンチ,ブラッドバローズ
14,2003/03/01,1阪神1,雨,11,アーリントンC(G3),,芝1600,16,重,1:36.8,35.8-36.3,ウインクリューガー,武幸四郎,[西]松元茂樹,エコルプレイス,ニシノシタン
15,2002/02/23,1阪神1,晴,11,アーリントンC(G3),,芝1600,13,良,1:33.9,34.7-35.0,タニノギムレット,武豊,[西]松田国英,ホーマンウイナー,ダンツジャッジ
16,2001/02/24,1阪神1,曇,11,アーリントンC(G3),,芝1600,14,稍,1:35.9,36.4-35.3,ダンツフレーム,武豊,[西]山内研二,キタサンチャンネル,リキアイタイカン
17,2000/02/26,1阪神1,曇,11,アーリントンC(G3),,芝1600,12,良,1:35.7,36.4-35.1,エイシンプレストン,福永祐一,[西]北橋修二,パープルエビス,トッププロテクター
18,1999/02/28,1阪神2,晴,11,アーリントンC(G3),,芝1600,14,良,1:35.8,35.5-36.6,エイシンキャメロン,武豊,[西]坂口正則,バイオマスター,タイクラッシャー
19,1998/03/01,1阪神2,曇,11,アーリントンC(G3),,芝1600,11,良,1:34.6,35.7-35.8,ダブリンライオン,ペリエ,[西]田所秀孝,マイネルラヴ,タヤスアゲイン
20,1997/02/23,1阪神2,晴,11,アーリントンC(G3),,芝1600,8,良,1:36.1,35.9-36.5,ブレーブテンダー,松永幹夫,[西]池江泰郎,ヒコーキグモ,スギノグッドラック
