0,馬名
1,スクリーンヒーロー  カロス タイキジャスパー (タイキシャトル) 栗東・池添兼 中11週  57.0 (10人気)
2,マツリダゴッホ  ディバインコード ツーデイズノーチス (ヘクタープロテクター) 美浦・栗田博 中6週  7.5 (4人気)
3,リーチザクラウン  キョウヘイ ショウナンアネーロ (ダンスインザダーク) 栗東・宮本 中6週  6.5 (3人気)
4,Pioneerof the Nile レヴァンテライオン Ghostly Darkness (Ghostzapper) 栗東・矢作 中9週  36.1 (9人気)
5,ジョーカプチーノ  ジョーストリクトリ ジョーアラマート (キングヘイロー) 栗東・清水久 中4週  27.1 (8人気)
6,アドマイヤマックス  リンクスゼロ チャメ (ホワイトマズル) 栗東・森 中6週  70.7 (11人気)
7,ハーツクライ  ナンヨーマーズ アクティビスト (フレンチデピュティ) 栗東・清水久 中5週  21.9 (7人気)
8,ハービンジャー  ペルシアンナイト オリエントチャーム (サンデーサイレンス) 栗東・池江 中6週  2.2 (1人気)
9,Lonhro  ミラアイトーン タイタンクイーン (Tiznow) 栗東・池江 中3週  5.6 (2人気)
10,Archarcharch スーパーモリオン Joyous Appeal (Devil His Due) 栗東・浅見 中3週  82.6 (12人気)
11,ローエングリン  ヴゼットジョリー フレンチビキニ (サンデーサイレンス) 栗東・中内田 中10週  11.4 (6人気)
12,マンハッタンカフェ  レッドアンシェル スタイルリスティック (Storm Cat) 栗東・庄野 中9週  9.8 (5人気)
