0,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎コメント,備考,調教師,馬主,賞金(万円)
1,1,8,16,スクリーンヒーロー,牡4,57,Ｍデムー,2:25.5,,**,5-5-5-5,34.0,41.0,9,486(+2),,,,[東] 鹿戸雄一,吉田照哉,25386.4
2,2,5,9,ディープスカイ,牡3,55,四位洋文,2:25.6,1/2,**,12-12-11-9,33.8,3.4,1,518(+8),,,,[西] 昆貢,深見敏男,10110.4
3,3,2,4,ウオッカ,牝4,55,岩田康誠,2:25.7,3/4,**,3-3-3-3,34.3,3.7,2,488(-2),,,,[西] 角居勝彦,谷水雄三,6355.2
4,4,7,13,マツリダゴッホ,牡5,57,蛯名正義,2:25.7,アタマ,**,4-4-3-3,34.4,8.0,5,492(+2),,,,[東] 国枝栄,高橋文枝,3800.0
5,5,1,1,オウケンブルースリ,牡3,55,内田博幸,2:25.8,クビ,**,8-7-6-6,34.2,7.3,4,482(-2),,,,[西] 音無秀孝,福井明,2500.0
6,6,1,2,メイショウサムソン,牡5,57,石橋守,2:26.0,1.1/4,**,5-5-6-6,34.4,6.5,3,516(0),,,,[西] 高橋成忠,松本好雄,
7,7,4,7,ネヴァブション,牡5,57,横山典弘,2:26.0,クビ,**,1-1-1-1,34.9,112.1,15,488(0),,,,[東] 伊藤正徳,ティーエイチ,
8,8,7,15,アサクサキングス,牡4,57,ルメール,2:26.1,3/4,**,10-9-8-8,34.4,12.9,6,498(+4),,,,[西] 大久保龍,田原慶子,
9,9,3,6,パープルムーン,セ5,57,スペンサ,2:26.1,ハナ,**,10-11-9-9,34.3,54.8,11,448(0),,,,[外] クマーニ,Ｃ．ベネット,
10,10,4,8,トーホウアラン,牡5,57,藤田伸二,2:26.2,1/2,**,8-9-13-12,34.2,33.8,8,496(-8),,,,[西] 藤原英昭,東豊物産,
11,11,5,10,オースミグラスワン,牡6,57,川田将雅,2:26.3,クビ,**,16-16-16-15,34.0,58.5,12,534(+2),,,,[西] 荒川義之,オースミ,
12,12,8,17,アドマイヤモナーク,牡7,57,安藤勝己,2:26.3,クビ,**,16-16-16-15,34.0,119.1,16,462(+4),,,,[西] 松田博資,近藤利一,
13,13,6,11,シックスティーズアイコン,牡5,57,ムルタ,2:26.5,1.1/4,**,13-13-13-14,34.4,50.6,10,490(0),,,,[外] ノスィー,Ｓ．ロイ＆ノーマンコートスタッド,
14,14,7,14,ペイパルブル,牡5,57,ムーア,2:26.7,1.1/2,**,13-13-11-9,34.9,26.0,7,472(0),,,,[外] スタウト,ペイパルブル・シンジケート,
15,15,2,3,トーセンキャプテン,牡4,57,ペリエ,2:26.8,クビ,**,15-13-13-17,34.4,99.3,13,492(0),,,,[西] 角居勝彦,島川隆哉,
16,16,3,5,ダイワワイルドボア,牡3,55,北村宏司,2:26.9,1/2,**,7-8-9-12,34.9,127.0,17,522(-4),,,,[東] 上原博之,大城敬三,
17,17,8,18,コスモバルク,牡7,57,松岡正海,2:27.4,3,**,2-2-2-2,36.2,107.8,14,514(+4),,,,[地] 田部和則,ビッグレッドファーム,
18,取,6,12,マーシュサイド,牡5,57,カステリ,,,**,,,---,,計不,,,,[外] ドライス,Ｒ．エヴァンス,
