0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
着順,枠番,馬番,馬名,性齢,負担重量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重
1,1,1,シュヴァルグラン,牡5,57.0,ボウマン,2:23.7,,5,13.3,34.7,5-4-4-4,(栗東)友道,470(-2)
2,1,2,レイデオロ,牡3,55.0,ルメール,2:23.9,1.1/4,2,3.8,34.6,11-9-9-7,(美浦)藤沢和,484(+8)
3,2,4,キタサンブラック,牡5,57.0,武豊,2:23.9,クビ,1,2.1,35.3,1-1-1-1,(栗東)清水久,542(0)
4,6,11,マカヒキ,牡4,57.0,内田博,2:24.6,4,6,15.0,35.1,12-12-11-11,(栗東)友道,500(-4)
5,7,14,□外アイダホ,牡4,57.0,ムーア,2:24.7,クビ,10,101.2,35.1,14-14-14-13,(海外)オブライ,480
6,5,9,レインボーライン,牡4,57.0,岩田,2:24.7,クビ,8,57.7,34.6,16-16-17-17,(栗東)浅見,448(-4)
7,4,8,ソウルスターリング,牝3,53.0,Ｃデムーロ,2:24.9,1,4,9.3,35.7,8-6-6-7,(美浦)藤沢和,480(0)
8,8,16,ヤマカツエース,牡5,57.0,池添,2:25.0,1/2,12,116.5,35.5,10-11-9-11,(栗東)池添兼,506(+2)
9,2,3,□外ギニョール,牡5,57.0,ミナリク,2:25.0,クビ,9,71.8,36.2,2-3-3-2,(海外)カルヴァ,468
10,6,12,サトノクラウン,牡5,57.0,Ｍデムーロ,2:25.2,1.1/4,3,5.7,36.0,13-12-11-7,(美浦)堀,496(-2)
11,7,13,シャケトラ,牡4,57.0,福永,2:25.2,クビ,7,48.2,36.1,5-6-6-4,(栗東)角居,524(-2)
12,3,5,サウンズオブアース,牡6,57.0,田辺,2:25.2,アタマ,11,102.0,35.5,14-14-14-15,(栗東)藤岡,502(+2)
12,5,10,□外ブームタイム,牡6,57.0,パリッシ,2:25.2,アタマ,16,322.5,35.9,9-6-6-7,(海外)ヘイズ,528
14,8,17,ラストインパクト,牡7,57.0,戸崎圭,2:25.3,クビ,14,270.9,35.7,5-9-11-13,(栗東)角居,482(-6)
15,3,6,□外イキートス,牡5,57.0,ポルク,2:25.5,1.1/4,13,122.9,35.7,16-16-16-15,(海外)グリュー,424
16,8,15,ワンアンドオンリー,牡6,57.0,横山典,2:25.7,1.1/4,15,280.8,36.7,2-4-4-4,(栗東)橋口,490(-4)
17,4,7,ディサイファ,牡8,57.0,柴山,2:26.0,2,17,445.8,37.2,2-2-2-2,(美浦)小島太,508(0)
