,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2016/12/11,シャティ,晴,,香港マイル(G1),,14.0,,3,6.7,5,5,Ｍ．デム,57,芝1600,良,,1:33.6,,,,,,計不,,,,
1,2016/10/30,4東京9,曇,11.0,天皇賞(秋)(G1),,15.0,3.0,5,43.2,9,5,田辺裕信,58,芝2000,良,**,1:59.9,0.6,**,3-3-4,36.9-34.2,34.5,496(-6),,,モーリス,1500.0
2,2016/10/09,4東京2,曇,11.0,毎日王冠(G2),,12.0,7.0,9,8.1,5,8,田辺裕信,58,芝1800,稍,**,1:47.6,1.0,**,3-3-3,35.8-34.5,35.1,502(+6),,,ルージュバック,
3,2016/06/05,3東京2,晴,11.0,安田記念(G1),,12.0,5.0,6,36.9,8,1,田辺裕信,58,芝1600,良,**,1:33.0,-0.2,**,1-1,35.0-33.9,33.9,496(-2),,,(モーリス),10568.8
4,2016/04/03,3中山4,曇,11.0,ダービー卿チャレンジ(G3),,16.0,7.0,14,10.7,4,2,田辺裕信,58,芝1600,良,**,1:32.8,0.0,**,2-3-2,35.3-34.5,34.2,498(-4),,,マジックタイム,1616.2
5,2016/02/28,2中山2,晴,11.0,中山記念(G2),,11.0,3.0,3,9.9,5,7,田辺裕信,57,芝1800,良,**,1:46.6,0.7,**,2-2-3-3,36.5-34.9,35.3,502(+6),,,ドゥラメンテ,
6,2015/11/22,5京都6,曇,11.0,マイルチャンピオンS(G1),,18.0,8.0,17,24.0,8,9,浜中俊,57,芝1600,良,**,1:33.4,0.6,**,6-6,34.6-33.8,34.0,496(0),,,モーリス,
7,2015/10/24,4東京6,晴,11.0,富士S(G3),,16.0,7.0,14,9.5,3,3,Ｍ．デム,58,芝1600,良,**,1:32.9,0.2,**,2-2,35.1-33.7,33.8,496(-4),,,ダノンプラチナ,1008.5
8,2015/09/27,4中山7,晴,11.0,産経賞オールカマー(G2),,15.0,4.0,6,4.1,2,4,Ｍ．デム,57,芝2200,良,**,2:12.4,0.5,**,3-3-3-3,35.8-34.9,35.0,500(+10),,,ショウナンパンドラ,980.0
9,2015/04/05,2阪神4,曇,11.0,産経大阪杯(G2),,14.0,6.0,9,9.7,3,5,福永祐一,57,芝2000,不,**,2:04.0,1.1,**,3-3-3-3,36.6-37.1,38.0,490(-8),,,ラキシス,650.0
10,2015/03/01,2中山2,雨,11.0,中山記念(G2),,11.0,6.0,7,3.4,2,2,Ｃ．デム,57,芝1800,稍,**,1:50.3,0.0,**,2-2-2-1,37.5-36.1,35.8,498(-2),,,ヌーヴォレコルト,2422.8
11,2015/02/01,1東京2,晴,11.0,根岸S(G3),,16.0,1.0,1,5.7,3,8,Ｃ．デム,58,ダ1400,重,**,1:23.9,0.5,**,5-4,35.3-35.8,35.8,500(-2),,,エアハリファ,
12,2015/01/04,1中山1,晴,11.0,日刊スポ賞中山金杯(G3),,17.0,2.0,4,4.4,1,2,Ｃ．デム,58,芝2000,良,**,1:58.0,0.2,**,5-5-3-3,35.6-34.8,34.6,502(+6),,,ラブリーデイ,1619.8
13,2014/11/23,5京都6,晴,11.0,マイルチャンピオンS(G1),,17.0,5.0,10,13.4,5,7,ルメール,57,芝1600,良,**,1:32.0,0.5,**,7-6,33.7-34.8,34.9,496(0),,,ダノンシャーク,
14,2014/10/12,4東京2,晴,11.0,毎日王冠(G2),,15.0,8.0,14,9.5,6,6,三浦皇成,57,芝1800,良,**,1:45.6,0.4,**,6-6-7,35.4-34.3,33.9,496(+4),,,エアソミュール,
15,2014/08/24,2札幌2,晴,11.0,札幌記念(G2),,14.0,1.0,1,8.6,4,8,村田一誠,57,芝2000,良,**,2:00.7,1.6,**,2-2-2-2,34.9-36.3,37.7,492(0),,,ハープスター,
16,2014/03/29,アラブ首,,,ドバイデューティフリ(G1),,,,12,,6,6,Ｃ．デム,57,芝1800,良,,,,,,,,計不,,,,
17,2014/03/02,2中山2,雨,11.0,中山記念(G2),,15.0,3.0,5,6.2,3,3,Ｃ．デム,58,芝1800,稍,**,1:50.4,0.6,**,5-6-6-3,37.3-36.9,37.1,500(+12),,,ジャスタウェイ,1515.2
