,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
0,1,7,13,シーキングザパール,牝4,55,武豊,1:33.1,,,6-5,34.3,2.0,1,456(-2),,,,[西] 森秀行,植中倫子,9594.8
1,2,7,14,ブレーブテンダー,牡4,57,松永幹夫,1:33.4,1.3/4,,6-5,34.6,3.8,2,460(0),,,,[西] 池江泰郎,前田幸治,3812.8
2,3,6,12,ショウナンナンバー,牡4,57,吉田豊,1:33.4,クビ,,15-14,34.1,86.0,14,470(-2),,,,[東] 大久保洋,国本哲秀,2356.4
3,4,8,16,ヒコーキグモ,牡4,57,蛯名正義,1:33.4,アタマ,,2-2,35.1,38.6,9,478(-6),,,,[西] 谷潔,小田切有一,1400.0
4,5,3,5,オースミジェット,牡4,57,福永祐一,1:33.5,1/2,,6-9,34.5,53.3,12,484(0),,,,[西] 白井寿昭,山路秀則,920.0
5,6,8,18,パーソナリティワン,牡4,57,大西直宏,1:33.6,3/4,,3-3,35.0,59.2,13,446(-6),,,,[東] 久恒久夫,宗像進,
6,7,8,17,パームシャドウ,牡4,57,岡部幸雄,1:33.8,1,,1-1,35.6,12.7,4,506(-8),,,,[東] 藤沢和雄,社台レースホース,
7,8,3,6,スーパーナカヤマ,牡4,57,的場均,1:33.9,3/4,,3-3,35.4,30.9,7,496(+6),,,,[東] 小西一男,信和商会,
8,9,6,11,シルクマスタング,牡4,57,久保田英,1:34.0,1/2,,15-14,34.7,130.5,15,496(+2),,,,[西] 田所秀孝,シルク,
9,10,7,15,ワシントンカラー,牡4,57,柴田善臣,1:34.0,クビ,,10-9,35.0,35.0,8,480(-4),,,,[東] 松山康久,テンジン,
10,11,1,1,キタサンフドー,牡4,57,高橋亮,1:34.1,クビ,,18-18,34.3,208.3,16,480(-6),,,,[西] 橋口弘次,大野商事,
11,12,5,10,ペイストリーシェフ,牡4,57,小野次郎,1:34.1,クビ,,10-9,35.1,42.3,11,460(-2),,,,[東] 柴田政人,伊達秀和,
12,13,5,9,マイネルマックス,牡4,57,佐藤哲三,1:34.2,1/2,,14-14,34.9,7.8,3,460(0),,,,[西] 中村均,サラブレッドクラブ・ラフィアン,
13,14,4,8,ロイヤルブルー,牡4,57,郷原洋司,1:34.4,1.1/4,,15-14,35.1,261.1,18,470(0),,,,[東] 郷原洋行,山内広,
14,15,1,2,オープニングテーマ,牡4,57,小池隆生,1:34.7,2,,6-5,35.8,16.6,5,470(-6),,,,[西] 太宰義人,前田幸治,
15,16,2,4,タイキギャラクシー,牡4,57,後藤浩輝,1:35.3,3.1/2,,10-12,36.2,41.3,10,474(-2),,,,[東] 国枝栄,大樹ファーム,
16,17,2,3,ホッコービューティ,牝4,55,熊沢重文,1:35.5,1.1/2,,10-12,36.4,27.0,6,456(-8),,,,[西] 橋本寿正,矢部幸一,
17,18,4,7,ダイワアンジェラ,牝4,55,江田照男,1:35.7,1.1/4,,3-5,36.9,240.2,17,502(-8),,,,[東] 増沢末夫,大和商事,
0,1,5,9,エルコンドルパサー,牡4,57,的場均,1:33.7,,,4-4,34.9,1.8,1,470(-2),,,,[東] 二ノ宮敬,渡邊隆,9582.2
1,2,3,5,シンコウエドワード,牡4,57,田中勝春,1:34.0,1.3/4,,8-5,35.1,23.5,6,460(+12),,,,[東] 河野通文,安田修,3809.2
2,3,4,7,スギノキューティー,牝4,55,河内洋,1:34.1,3/4,,5-5,35.2,21.2,5,426(+4),,,,[西] 浅見秀一,杉山美惠,2354.6
3,4,7,14,ゲイリーセイヴァー,牡4,57,後藤浩輝,1:34.2,1/2,,14-16,34.6,55.0,8,456(0),,,,[東] 河野通文,西谷守博,1400.0
4,5,6,12,アマロ,牡4,57,佐藤哲三,1:34.2,クビ,,1-1,35.7,87.8,12,486(+2),,,,[西] 清水出美,金子真人,920.0
5,6,2,3,ジムカーナ,牡4,57,植野貴也,1:34.3,1/2,,12-8,35.1,71.4,11,426(0),,,,[西] 梅内忍,キャロットファーム,
6,7,6,11,マイネルラヴ,牡4,57,武豊,1:34.4,クビ,,5-5,35.5,11.4,4,476(-4),,,,[東] 稗田研二,サラブレッドクラブ・ラフィアン,
7,8,8,16,エアジハード,牡4,57,橋本広喜,1:34.5,1/2,,8-12,35.2,60.5,10,478(-4),,,,[東] 伊藤正徳,ラッキーフィールド,
8,9,5,10,ロードアックス,牡4,57,岡部幸雄,1:34.7,1.1/2,,12-8,35.5,8.2,3,454(-2),,,,[東] 藤沢和雄,ロードホースクラブ,
