,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/02/12,2京都6,晴,11,京都記念(G2),,10,8,9,3.4,2,4,和田竜二,56,芝2200,稍,**,2:14.4,0.3,**,8-8-8-8,36.4-36.0,34.5,480(+2),,,サトノクラウン,930.0
1,2017/01/17,1京都5,晴,11,日経新春杯(G2),,14,4,5,2.9,1,1,和田竜二,55,芝2400,稍,**,2:25.7,0.0,**,4-4-3-2,35.6-36.4,36.0,478(+6),,,(シャケトラ),5802.2
2,2016/10/23,4京都7,曇,11,菊花賞(G1),,18,4,8,12.2,4,5,和田竜二,57,芝3000,良,**,3:04.0,0.7,**,9-10-14-10,35.3-34.7,34.6,472(+4),,,サトノダイヤモンド,1150.0
3,2016/09/25,4阪神6,曇,11,神戸新聞杯(G2),,15,8,15,27.4,6,2,和田竜二,56,芝2400,良,**,2:25.7,0.0,**,9-9-11-11,36.3-34.6,34.0,468(-10),,,サトノダイヤモンド,2230.8
4,2016/08/14,1札幌6,晴,10,HTB賞(1000万下),,13,6,8,1.6,1,1,池添謙一,54,芝2000,良,**,2:02.4,-0.1,**,8-9-7-5,36.1-34.5,34.0,478(0),,,(フォワードカフェ),1528.0
5,2016/07/24,2函館6,曇,10,松前特別(1000万下),,13,7,11,1.6,1,2,池添謙一,54,芝2000,良,**,1:59.9,0.2,**,10-10-6-5,34.3-36.2,35.4,478(+2),,,カルヴァリオ,608.0
6,2016/07/10,2函館2,曇,8,3歳上500万下,,11,5,5,1.9,1,1,池添謙一,54,芝2000,良,**,2:00.8,-0.3,**,3-5-5-2,36.0-34.8,34.3,476(+2),,,(ロングスピーク),750.0
7,2016/04/17,3中山8,晴,11,皐月賞(G1),,18,4,8,150.4,14,13,横山典弘,57,芝2000,良,**,2:00.0,2.1,**,15-16-17-16,34.2-35.6,35.7,474(+2),,,ディーマジェスティ,
8,2016/03/20,2中山7,晴,11,フジTVスプリングS(G2),,11,6,7,6.3,2,5,ルメール,56,芝1800,良,**,1:48.4,0.3,**,11-11-11-11,36.0-36.2,34.8,472(0),,,マウントロブソン,540.0
9,2016/02/21,2京都8,晴,9,つばき賞(500万下),,9,3,3,2.0,1,2,松若風馬,56,芝1800,稍,**,1:52.6,0.2,**,7-7,37.7-35.5,34.7,472(-4),,,ナムラシングン,407.0
10,2016/01/30,2京都1,曇,9,梅花賞(500万下),,11,7,8,4.4,3,2,松若風馬,56,芝2400,重,**,2:30.3,0.4,**,8-8-6-6,36.4-35.9,35.8,476(0),,,アドマイヤダイオウ,407.4
11,2016/01/11,1京都4,晴,5,3歳未勝利,,16,3,6,2.4,1,1,松若風馬,56,芝1800,良,**,1:48.9,-0.1,**,5-5,35.5-35.1,34.6,476(-2),,,(ステイキングダム),500.0
12,2015/12/12,5阪神3,晴,5,2歳新馬,,14,8,14,2.5,1,2,浜中俊,55,芝1800,稍,**,1:50.6,0.4,**,8-7,36.6-33.8,33.6,478(0),,,ロワアブソリュー,280.0
