,0,1,2,3,4
0,馬番,チェック 予想印,馬名 年齢 騎手 斤量,オッズ人気,馬体重(増減)
1,1,,ミッキーロケット 牡4 和田 57.0,14.8 6人気,480(0)
2,2,,アングライフェン 牡5 岩田 57.0,246.1 14人気,478(0)
3,3,,スズカデヴィアス 牡6 藤岡佑 57.0,173.6 12人気,526(+2)
4,4,,ステファノス 牡6 川田 57.0,16.2 7人気,482(-4)
5,5,,キタサンブラック 牡5 武豊 57.0,2.5 1人気,540(+4)
6,6,,サクラアンプルール 牡6 横山典 57.0,57.9 9人気,478(-6)
7,7,,サトノクラウン 牡5 Ｍデム 57.0,4.5 3人気,478(-12)
8,8,,ロードヴァンドール 牡4 太宰 57.0,85.8 10人気,498(-6)
9,9,,ディサイファ 牡8 四位 57.0,189.9 13人気,500(-4)
10,10,,モンドインテロ 牡5 内田博 57.0,164.0 11人気,476(-4)
11,11,,マルターズアポジー 牡5 武士沢 57.0,26.7 8人気,520(-10)
12,12,,アンビシャス 牡5 福永 57.0,12.7 5人気,470(+4)
13,13,,ヤマカツエース 牡5 池添 57.0,10.2 4人気,514(-2)
14,14,,マカヒキ 牡4 ルメー 57.0,3.9 2人気,502(0)
