,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1,2016/04/03,2阪神4,曇,11,産経大阪杯(G2),,芝2000,11,良,1:59.3,36.8-33.6,アンビシャス,横山典弘,[西]音無秀孝,キタサンブラック,ショウナンパンドラ
2,2015/04/05,2阪神4,曇,11,産経大阪杯(G2),,芝2000,14,不,2:02.9,36.6-37.1,ラキシス,ルメール,[西]角居勝彦,キズナ,エアソミュール
3,2014/04/06,2阪神4,晴,11,産経大阪杯(G2),,芝2000,8,良,2:00.3,36.6-36.3,キズナ,武豊,[西]佐々木晶,トウカイパラダイス,エピファネイア
4,2013/03/31,2阪神4,曇,11,産経大阪杯(G2),,芝2000,14,良,1:59.0,36.7-33.7,オルフェーヴル,池添謙一,[西]池江泰寿,ショウナンマイティ,エイシンフラッシュ
5,2012/04/01,2阪神4,曇,11,産経大阪杯(G2),,芝2000,12,稍,2:05.5,39.1-35.3,ショウナンマイティ,浜中俊,[西]梅田智之,フェデラリスト,トーセンジョーダン
6,2011/04/03,2阪神4,晴,11,産経大阪杯(G2),,芝2000,15,良,1:57.8,35.8-35.3,ヒルノダムール,藤田伸二,[西]昆貢,ダークシャドウ,エイシンフラッシュ
7,2010/04/04,2阪神4,晴,10,産経大阪杯(G2),,芝2000,12,良,1:59.5,36.0-35.4,テイエムアンコール,浜中俊,[西]柴田政見,ゴールデンダリア,ドリームジャーニー
8,2009/04/05,2阪神4,晴,10,産経大阪杯(G2),,芝2000,12,良,1:59.7,36.0-34.8,ドリームジャーニー,池添謙一,[西]池江泰寿,ディープスカイ,カワカミプリンセス
9,2008/04/06,2阪神4,晴,11,産経大阪杯(G2),,芝2000,11,良,1:58.7,35.5-34.8,ダイワスカーレット,安藤勝己,[西]松田国英,エイシンデピュティ,アサクサキングス
10,2007/04/01,2阪神4,曇,11,産経大阪杯(G2),,芝2000,11,良,2:01.4,37.4-35.1,メイショウサムソン,石橋守,[西]高橋成忠,シャドウゲイト,メイショウオウテ
11,2006/04/02,2阪神4,雨,11,産経大阪杯(G2),,芝2000,12,重,2:04.5,36.9-37.8,カンパニー,福永祐一,[西]音無秀孝,マッキーマックス,スズカマンボ
12,2005/04/03,2阪神4,晴,11,産経大阪杯(G2),,芝2000,9,良,1:59.0,35.1-35.2,サンライズペガサス,幸英明,[西]石坂正,ハーツクライ,サイレントディール
13,2004/04/04,2阪神4,曇,11,産経大阪杯(G2),,芝2000,11,稍,1:59.6,35.9-35.6,ネオユニヴァース,Ｍデムー,[西]瀬戸口勉,マグナーテン,カンファーベスト
14,2003/04/06,2阪神4,晴,11,産経大阪杯(G2),,芝2000,15,良,1:59.1,35.6-35.4,タガノマイバッハ,安藤勝己,[西]松田博資,マグナーテン,ツルマルボーイ
15,2002/03/31,2阪神4,曇,11,産経大阪杯(G2),,芝2000,14,良,1:59.1,36.3-35.4,サンライズペガサス,安藤勝己,[西]石坂正,エアシャカール,ビッグゴールド
16,2001/04/01,2阪神4,曇,11,産経大阪杯(G2),,芝2000,14,良,1:58.4,35.6-35.8,トーホウドリーム,安藤勝己,[西]田島良保,エアシャカール,アドマイヤボス
17,2000/04/02,2阪神4,曇,11,産経大阪杯(G2),,芝2000,16,良,2:00.8,36.3-35.2,メイショウオウドウ,飯田祐史,[西]飯田明弘,ロードプラチナム,ジョービッグバン
18,1999/04/04,2阪神4,晴,11,産経大阪杯(G2),,芝2000,11,良,1:59.9,36.4-35.7,サイレントハンター,吉田豊,[東]大久保洋,マチカネフクキタル,ミッドナイトベット
19,1998/04/05,2阪神4,晴,11,産経大阪杯(G2),,芝2000,9,良,2:01.3,37.5-34.4,エアグルーヴ,武豊,[西]伊藤雄二,メジロドーベル,イシノサンデー
20,1997/03/30,2阪神4,曇,11,産経大阪杯(G2),,芝2000,9,稍,2:02.0,37.0-36.3,マーベラスサンデー,武豊,[西]大沢真,ユウトウセイ,ロイヤルタッチ
