,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
0,1,5,8,フラワーパーク,牝5,54.0,田原成貴,1:07.6,,,2-2,33.7,5.0,4.0,468(+2),,,,[西] 松元省一,吉田勝己,4352.5
1,2,6,9,ドージマムテキ,牡7,57.0,的場均,1:07.7,3/4,,5-3,33.6,13.0,5.0,494(+2),,,,[西] 森秀行,堂島和夫,1715.0
2,3,4,6,ヒシアケボノ,牡5,57.0,角田晃一,1:07.9,1,,2-1,34.0,3.4,1.0,556(-4),,,,[西] 佐山優,阿部雅一郎,1107.5
3,4,2,2,ヤマニンパラダイス,牝5,54.0,武豊,1:08.5,3.1/2,,6-5,34.3,4.5,3.0,476(+8),,,,[西] 浅見国一,土井商事,650.0
4,5,8,13,イサミサクラ,牝5,54.0,佐藤哲三,1:08.7,1,,10-7,34.3,205.2,12.0,440(-4),,,,[西] 領家政蔵,前田哲郎,430.0
5,6,3,3,ライデンリーダー,牝5,54.0,安藤勝己,1:08.9,1.1/2,,13-13,33.9,15.4,6.0,460(-16),,,,[地] 荒川友司,水野俊一,
6,7,1,1,エイユーギャル,牝5,54.0,岸滋彦,1:09.2,2,,10-8,34.7,59.8,10.0,466(+4),,,,[西] 古川平,笹部義則,
7,8,6,10,ニホンピロプリンス,牡8,58.0,小林徹弥,1:09.2,クビ,,9-11,34.6,17.6,7.0,456(+2),,,,[西] 目野哲也,小林百太郎,
8,9,4,5,トーワウィナー,牡7,57.0,藤田伸二,1:09.5,2,,6-8,35.1,20.9,8.0,522(+12),,,,[西] 佐山優,斉藤一郎,
9,10,7,12,トウショウルーイ,牡6,57.0,幸英明,1:09.5,ハナ,,6-8,35.1,165.0,11.0,522(-8),,,,[東] 奥平真治,トウショウ産業,
10,11,3,4,キタサンサイレンス,牝5,54.0,野元昭嘉,1:09.8,2,,10-12,35.1,329.5,13.0,452(-2),,,,[西] 野元昭,大野商事,
11,12,7,11,エイシンワシントン,牡6,57.0,熊沢重文,1:10.0,1.1/4,,4-5,35.9,4.2,2.0,486(-10),,,,[西] 内藤繁春,平井豊光,
12,13,5,7,スリーコース,牝6,55.0,南井克巳,1:10.8,5,,1-3,37.0,36.5,9.0,474(+4),,,,[西] 橋本寿正,永井商事,
13,取,8,14,ハウンドトゥース,牝5,54.0,飯田祐史,,,,,,---,,計不,,,,[西] 山本正司,藤本直弘,
0,1,2,4,エイシンバーリン,牝6,56.0,南井克巳,1:06.9,,,1-1,33.4,35.9,8.0,454(+10),,,,[西] 坂口正則,平井豊光,4360.9
1,2,1,1,ビコーペガサス,牡7,58.0,上村洋行,1:07.6,4,,9-6,33.4,10.7,3.0,436(+4),,,,[西] 柳田次男,レジェンド,1717.4
2,3,3,6,シンコウキング,牡7,57.0,橋本広喜,1:07.6,アタマ,,5-4,33.6,13.8,4.0,468(-4),,,,[東] 藤沢和雄,安田修,1108.7
3,4,5,10,フラワーパーク,牝6,57.0,田原成貴,1:07.6,ハナ,,2-2,33.8,1.4,1.0,476(0),,,,[西] 松元省一,吉田勝己,650.0
4,5,2,3,エイティグロー,牡6,57.0,常石勝義,1:07.9,2,,12-10,33.5,46.1,10.0,442(+4),,,,[西] 中尾正,前田篤久,430.0
5,6,8,15,ヤマニンパラダイス,牝6,55.0,石橋守,1:08.1,1.1/2,,6-6,33.9,14.9,5.0,478(0),,,,[西] 浅見秀一,土井商事,
6,7,7,13,ゴールデンカラーズ,牝5,54.0,塩村克己,1:08.2,クビ,,16-16,32.9,42.1,9.0,488(+10),,,,[西] 中村好夫,中村寛俊,
7,8,8,16,アベルクイーン,牝6,55.0,村本善之,1:08.2,クビ,,12-13,33.6,220.2,15.0,456(+4),,,,[西] 新川恵,杵臼牧場,
