,着順,枠番,馬番,馬名,性齢,斤量,騎手,上り,単勝,人気,調教師,馬主,rank_0,rank_1,second,first_half,weight,diff
0,1,5,8,フラワーパーク,牝5,54.0,田原成貴,33.7,5.0,4.0,[西] 松元省一,吉田勝己,2,2,67.6,33.89999999999999,468,2
1,2,6,9,ドージマムテキ,牡7,57.0,的場均,33.6,13.0,5.0,[西] 森秀行,堂島和夫,5,3,67.7,34.1,494,2
2,3,4,6,ヒシアケボノ,牡5,57.0,角田晃一,34.0,3.4,1.0,[西] 佐山優,阿部雅一郎,2,1,67.9,33.900000000000006,556,-4
3,4,2,2,ヤマニンパラダイス,牝5,54.0,武豊,34.3,4.5,3.0,[西] 浅見国一,土井商事,6,5,68.5,34.2,476,8
4,5,8,13,イサミサクラ,牝5,54.0,佐藤哲三,34.3,205.2,12.0,[西] 領家政蔵,前田哲郎,10,7,68.7,34.400000000000006,440,-4
5,6,3,3,ライデンリーダー,牝5,54.0,安藤勝己,33.9,15.4,6.0,[地] 荒川友司,水野俊一,13,13,68.9,35.00000000000001,460,-16
6,7,1,1,エイユーギャル,牝5,54.0,岸滋彦,34.7,59.8,10.0,[西] 古川平,笹部義則,10,8,69.2,34.5,466,4
7,8,6,10,ニホンピロプリンス,牡8,58.0,小林徹弥,34.6,17.6,7.0,[西] 目野哲也,小林百太郎,9,11,69.2,34.6,456,2
8,9,4,5,トーワウィナー,牡7,57.0,藤田伸二,35.1,20.9,8.0,[西] 佐山優,斉藤一郎,6,8,69.5,34.4,522,12
9,10,7,12,トウショウルーイ,牡6,57.0,幸英明,35.1,165.0,11.0,[東] 奥平真治,トウショウ産業,6,8,69.5,34.4,522,-8
10,11,3,4,キタサンサイレンス,牝5,54.0,野元昭嘉,35.1,329.5,13.0,[西] 野元昭,大野商事,10,12,69.8,34.699999999999996,452,-2
11,12,7,11,エイシンワシントン,牡6,57.0,熊沢重文,35.9,4.2,2.0,[西] 内藤繁春,平井豊光,4,5,70.0,34.1,486,-10
12,13,5,7,スリーコース,牝6,55.0,南井克巳,37.0,36.5,9.0,[西] 橋本寿正,永井商事,1,3,70.8,33.8,474,4
14,1,2,4,エイシンバーリン,牝6,56.0,南井克巳,33.4,35.9,8.0,[西] 坂口正則,平井豊光,1,1,66.9,33.50000000000001,454,10
15,2,1,1,ビコーペガサス,牡7,58.0,上村洋行,33.4,10.7,3.0,[西] 柳田次男,レジェンド,9,6,67.6,34.199999999999996,436,4
16,3,3,6,シンコウキング,牡7,57.0,橋本広喜,33.6,13.8,4.0,[東] 藤沢和雄,安田修,5,4,67.6,33.99999999999999,468,-4
17,4,5,10,フラワーパーク,牝6,57.0,田原成貴,33.8,1.4,1.0,[西] 松元省一,吉田勝己,2,2,67.6,33.8,476,0
18,5,2,3,エイティグロー,牡6,57.0,常石勝義,33.5,46.1,10.0,[西] 中尾正,前田篤久,12,10,67.9,34.400000000000006,442,4
19,6,8,15,ヤマニンパラダイス,牝6,55.0,石橋守,33.9,14.9,5.0,[西] 浅見秀一,土井商事,6,6,68.1,34.199999999999996,478,0
20,7,7,13,ゴールデンカラーズ,牝5,54.0,塩村克己,32.9,42.1,9.0,[西] 中村好夫,中村寛俊,16,16,68.2,35.300000000000004,488,10
21,8,8,16,アベルクイーン,牝6,55.0,村本善之,33.6,220.2,15.0,[西] 新川恵,杵臼牧場,12,13,68.2,34.6,456,4
22,9,3,5,キングアドマイヤ,牡6,57.0,藤田伸二,33.7,17.1,6.0,[西] 小林稔,近藤利一,12,13,68.3,34.599999999999994,482,-2
