,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
0,1,2,4,マヤノトップガン,牡6,58,田原成貴,3:14.4,,,11-11-12-8,34.2,3.7,2,458(-6),,,,[西] 坂口正大,田所祐,13557.0
1,2,4,8,サクラローレル,牡7,58,横山典弘,3:14.6,1.1/4,,8-8-2-2,35.0,2.1,1,488(-14),,,,[東] 小島太,さくらコマース,5402.0
2,3,7,14,マーベラスサンデー,牡6,58,武豊,3:14.7,1/2,,10-10-3-2,35.0,4.1,3,500(0),,,,[西] 大沢真,笹原貞生,3351.0
3,4,8,16,ステージチャンプ,牡8,58,蛯名正義,3:15.4,4,,14-13-8-6,35.5,55.2,8,472(+14),,,,[東] 矢野進,吉田和子,2000.0
4,5,5,9,ローゼンカバリー,牡5,58,藤田伸二,3:15.6,1.1/2,,11-11-5-4,35.9,32.8,6,480(-2),,,,[東] 鈴木康弘,社台レースホース,1320.0
5,6,5,10,ビッグシンボル,牡5,58,南井克巳,3:15.9,2,,1-1-1-1,36.3,22.6,5,478(-2),,,,[西] 中尾正,ビッグ,
6,7,6,11,ノーザンポラリス,牡7,58,福永祐一,3:16.6,4,,4-4-5-8,36.6,77.4,10,468(-2),,,,[西] 森秀行,吉田勝己,
7,8,6,12,ユウセンショウ,牡6,58,松永幹夫,3:16.7,クビ,,14-13-13-15,36.1,83.2,11,476(+2),,,,[西] 松元茂樹,アイテツ,
8,9,2,3,メジロランバダ,牝5,56,熊沢重文,3:16.8,クビ,,9-9-5-4,37.1,40.6,7,494(0),,,,[西] 池江泰郎,メジロ牧場,
9,10,3,6,エイシンホンコン,牡5,58,小池隆生,3:17.6,5,,2-2-3-8,37.6,59.2,9,458(0),,,,[西] 太宰義人,平井豊光,
10,11,8,15,ハギノリアルキング,牡8,58,佐藤哲三,3:17.6,アタマ,,16-16-15-11,37.3,166.8,14,482(+4),,,,[西] 小林稔,日隈広吉,
11,12,7,13,ポレール,牡7,58,和田竜二,3:18.0,2.1/2,,5-5-13-12,37.5,111.4,12,476(+2),,,,[西] 岩元市三,林進,
12,13,4,7,インターライナー,牡7,58,村本善之,3:18.0,アタマ,,13-13-16-15,37.2,249.3,16,488(-2),,,,[東] 柄崎孝,松岡正雄,
13,14,3,5,ギガトン,牡5,58,角田晃一,3:18.3,2,,5-5-8-12,37.9,132.0,13,474(-4),,,,[西] 山内研二,横山秀男,
14,15,1,1,タマモハイウェイ,牡8,58,河内洋,3:18.6,2,,3-3-8-12,38.2,198.3,15,484(-8),,,,[西] 吉永忍,タマモ,
15,中,1,2,ロイヤルタッチ,牡5,58,岡部幸雄,,,,5-5-8-6,,11.4,4,448(0),,,,[西] 伊藤雄二,太田美實,
0,1,4,5,メジロブライト,牡5,58,河内洋,3:23.6,,,6-6-5-5,34.3,2.3,2,460(-6),,,,[西] 浅見秀一,メジロ牧場,13519.2
1,2,6,9,ステイゴールド,牡5,58,熊沢重文,3:23.9,2,,6-7-7-6,34.3,57.9,10,418(+10),,,,[西] 池江泰郎,社台レースホース,5391.2
2,3,6,10,ローゼンカバリー,牡6,58,横山典弘,3:24.0,1/2,,14-14-10-10,34.2,22.4,5,486(-6),,,,[東] 鈴木康弘,社台レースホース,3345.6
3,4,3,4,シルクジャスティス,牡5,58,藤田伸二,3:24.1,1/2,,5-5-7-6,34.6,2.0,1,462(+2),,,,[西] 大久保正,シルク,2000.0
4,5,3,3,ダイワオーシュウ,牡5,58,柴田善臣,3:24.1,クビ,,3-3-3-3,34.8,13.5,3,448(-4),,,,[東] 二ノ宮敬,大和商事,1320.0
5,6,8,14,シグナスヒーロー,牡7,58,加藤和宏,3:24.2,1/2,,4-4-6-6,34.7,56.0,9,498(-8),,,,[東] 田中清隆,ヒダカ・ブリーダーズ・ユニオン,
6,7,5,8,マウンテンストーン,牡6,58,田中勝春,3:24.4,1.1/2,,9-8-3-3,35.2,107.1,12,454(-8),,,,[東] 小島太,山石祐一,
7,8,2,2,ユーセイトップラン,牡6,58,松永幹夫,3:24.4,ハナ,,9-10-11-10,34.5,15.5,4,492(0),,,,[西] 音無秀孝,アサヒクラブ,
8,9,7,12,イシノサンデー,牡6,58,四位洋文,3:24.5,3/4,,8-8-9-9,34.8,40.9,7,484(+6),,,,[西] 山内研二,イシジマ,
9,10,1,1,ファンドリリヴリア,牡9,58,南井克巳,3:24.9,2.1/2,,1-1-1-1,36.9,83.4,11,486(0),,,,[西] 高橋成忠,水戸富雄,
10,11,5,7,テンジンショウグン,牡9,58,江田照男,3:25.2,2,,11-11-13-13,35.0,37.7,6,484(-4),,,,[東] 矢野照正,テンジン,
11,12,8,13,マイネルブリッジ,牡7,58,岡部幸雄,3:25.2,クビ,,13-13-13-13,34.9,52.4,8,510(0),,,,[東] 伊藤正徳,サラブレッドクラブ・ラフィアン,
12,13,7,11,マイネルワイズマン,牡6,58,佐藤哲三,3:25.3,クビ,,2-2-2-2,36.3,191.4,14,514(-6),,,,[東] 浅野洋一,サラブレッドクラブ・ラフィアン,
13,14,4,6,メイショウヨシイエ,牡8,58,村本善之,3:25.6,1.3/4,,11-11-11-12,35.6,183.0,13,518(0),,,,[西] 高橋成忠,松本好雄,
0,1,3,3,スペシャルウィーク,牡5,58,武豊,3:15.3,,,3-3-3-2,34.2,2.3,1,476(0),,,,[西] 白井寿昭,臼田浩義,13464.6
1,2,7,10,メジロブライト,牡6,58,河内洋,3:15.4,1/2,,6-6-6-4,34.0,4.1,3,466(-4),,,,[西] 浅見秀一,メジロ牧場,5375.6
2,3,6,8,セイウンスカイ,牡5,58,横山典弘,3:15.8,2.1/2,,1-1-1-1,34.8,2.8,2,474(-2),,,,[東] 保田一隆,西山牧場,3337.8
3,4,8,11,シルクジャスティス,牡6,58,藤田伸二,3:15.8,ハナ,,7-7-6-7,34.3,22.6,5,456(-4),,,,[西] 大久保正,シルク,2000.0
